pair_key,metal_guess,ox_file,red_file,selected_atom_count,selected_atom_rmsd,metal_center_rmsd,donor_atom_rmsd,donor_N_rmsd,oxygen_atom_rmsd,phenoxy_O_rmsd,alkoxide_O_rmsd,monomer_O_rmsd,ferrocene_Fe_rmsd,ferrocene_C_rmsd,monomer_C_rmsd,mean_metal_to_any_donor_ox,mean_metal_to_any_donor_red,mean_metal_to_any_donor_change,mean_metal_to_donor_N_ox,mean_metal_to_donor_N_red,mean_metal_to_donor_N_change,mean_metal_to_any_oxygen_ox,mean_metal_to_any_oxygen_red,mean_metal_to_any_oxygen_change,mean_metal_to_phenoxy_O_ox,mean_metal_to_phenoxy_O_red,mean_metal_to_phenoxy_O_change,mean_metal_to_alkoxide_O_ox,mean_metal_to_alkoxide_O_red,mean_metal_to_alkoxide_O_change,mean_metal_to_monomer_O_ox,mean_metal_to_monomer_O_red,mean_metal_to_monomer_O_change,metal_to_Fe_ox,metal_to_Fe_red,metal_to_Fe_change
Al-salfan-H2-star,Al,Al-salfan-H2-star-ox.out,Al-salfan-H2-star-red.out,17,0.24244696786028708,0.45370413798994735,0.3449549491372659,0.3449549491372659,0.3221213738234823,0.3343253195078125,0.2962088788233414,,0.10404526985447052,0.15274875204738633,,2.576246932502638,2.17406521970091,-0.402181712801728,2.576246932502638,2.17406521970091,-0.402181712801728,1.749562246633068,1.8036452203089732,0.0540829736759052,1.7597752265502513,1.8238007002792558,0.06402547372900447,1.729136286798701,1.7633342603684081,0.03419797356970711,,,,4.0851163973773135,3.8487366263527307,-0.23637977102458274
Al-salfen,Al,Al-salfen-ox.out,Al-salfen-red.out,17,0.043667642550146726,0.023488618437658638,0.02461365804084933,0.02461365804084933,0.0753137624336627,0.061456437772589946,0.09727641517012285,,0.01136804980672082,0.036752646962526746,,2.061150136167885,2.0631662348428996,0.0020160986750146215,2.061150136167885,2.0631662348428996,0.0020160986750146215,1.8261693696810566,1.826315423584284,0.00014605390322741663,1.8581203772622827,1.8542676546917154,-0.0038527225705673462,1.7622673545186043,1.7704109613694214,0.008143606850817164,,,,3.8208233065831503,3.8458805718473625,0.02505726526421226
Al-thiolfan-star,Al,Al-thiolfan-star-ox.out,Al-thiolfan-star-red.out,17,0.23372609479009793,0.2682611718177349,0.3465848359977101,,0.24625682410318375,0.29819950268925194,0.06388570610022846,,0.061829014060872906,0.20753742672950945,,2.8157092557426697,2.613052219890012,-0.2026570358526576,,,,1.7527416022727074,1.7838091838363177,0.031067581563610336,1.77548674720782,1.8013933427898225,0.02590659558200259,1.7072513124024826,1.7486408659293078,0.04138955352682516,,,,4.461678791144203,4.355547348649191,-0.10613144249501172
Ti-salfan-H2,Ti,Ti-salfan-H2-ox.out,Ti-salfan-H2-red.out,18,0.21694942701940217,0.22893724298695123,0.3980874693187463,0.3980874693187463,0.23106767592105046,0.22279309205924402,0.2390560182086877,,0.12269441434494284,0.15786843873792494,,2.802175867288213,2.4080489794609243,-0.39412688782728855,2.802175867288213,2.4080489794609243,-0.39412688782728855,1.8393069678609186,1.8756026217042159,0.03629565384329725,1.8473585283327942,1.9022677295639818,0.05490920123118759,1.831255407389043,1.84893751384445,0.01768210645540691,,,,4.173637589392735,4.181781278674794,0.008143689282059441
Ti-salfan-H2-star,Ti,Ti-salfan-H2-star-ox.out,Ti-salfan-H2-star-red.out,18,1.3318350819647369,1.5329267351586136,0.8031337557194466,0.8031337557194466,2.5129622163379084,0.9796161012064856,3.416183615636149,,0.3928533452444671,0.5360934761385105,,4.06243259734146,2.365644642089473,-1.6967879552519873,4.06243259734146,2.365644642089473,-1.6967879552519873,1.8088559648904006,1.8853346753731506,0.07647871048275001,1.842234234296949,1.935797531751565,0.09356329745461589,1.7754776954838523,1.834871818994736,0.05939412351088369,,,,5.9880510688833475,4.064431976156693,-1.9236190927266543
Ti-salfen,Ti,Ti-salfen-ox.out,Ti-salfen-red.out,18,0.18149191447206917,0.06403415145801385,0.24629951460738064,0.24629951460738064,0.24578316700461886,0.1028719552283141,0.33201820912887364,,0.08667290828321011,0.1477601916048778,,2.2921913774931006,2.2820938745370456,-0.010097502956055049,2.2921913774931006,2.2820938745370456,-0.010097502956055049,1.8739989750473833,1.8821874871651418,0.008188512117758506,1.9080118408971627,1.9125778597927103,0.004566018895547641,1.839986109197604,1.8517971145375733,0.011811005339969372,,,,3.8612354721039743,3.9981004005273553,0.13686492842338094
Ti-thiolfan-star,Ti,Ti-thiolfan-star-ox.out,Ti-thiolfan-star-red.out,18,0.1803848749580434,0.110001720798071,0.33335399136657934,,0.1704544798420132,0.18157821453052217,0.1585522355702695,,0.07240161190708395,0.15161978701579037,,2.8693956478436906,2.716980551612181,-0.1524150962315094,,,,1.851649646915644,1.8723726380310999,0.020722991115455835,1.8908257490376008,1.9114025028981987,0.020576753860597874,1.8124735447936873,1.8333427731640013,0.02086922837031402,,,,4.48776506686892,4.50435449778789,0.01658943091897047
Y-salfen,Y,Y-salfen-ox.out,Y-salfen-red.out,17,0.11888832823016632,0.032427604683966535,0.10517970810962626,0.10517970810962626,0.18796947331049202,0.1668636309577799,0.22430030320319005,,0.031075746849137477,0.10495000035516389,,2.4730683271158496,2.4774636635598246,0.004395336443975051,2.4730683271158496,2.4774636635598246,0.004395336443975051,2.1369477608223133,2.13172895980605,-0.005218801016263264,2.192973849466778,2.1751909669915053,-0.01778288247527282,2.0248955835333837,2.0448049454351387,0.019909361901754963,,,,3.9427223802857334,3.9991566836189354,0.056434303333201985
Zr-salfan,Zr,Zr-salfan-ox.out,Zr-salfan-red.out,18,0.29355933047145927,0.04138800040026355,0.31469920994527156,0.31469920994527156,0.33434795845300397,0.31650609998533663,0.3512847894735202,,0.055546448683540854,0.30019388065343994,,2.5865254469112617,2.4734928259658977,-0.11303262094536404,2.5865254469112617,2.4734928259658977,-0.11303262094536404,2.0134132337764017,2.0394067512966596,0.025993517520257914,2.0594785257842956,2.0731534362625785,0.013674910478282953,1.9673479417685078,2.0056600663307402,0.03831212456223243,,,,3.71959852692384,3.7499430348178624,0.03034450789402232
Zr-salfan-H2,Zr,Zr-salfan-H2-ox.out,Zr-salfan-H2-red.out,18,0.13056039598302335,0.05187027562408111,0.11661742383289403,0.11661742383289403,0.21878776159573363,0.14733794258370134,0.2720803188827613,,0.05500584474475021,0.09079677965537096,,2.582713840361475,2.5017477393739718,-0.08096610098750334,2.582713840361475,2.5017477393739718,-0.08096610098750334,2.011571070696837,2.027568010722295,0.01599694002545826,2.0561660825115653,2.070586823914806,0.0144207414032409,1.9669760588821088,1.9845491975297844,0.017573138647675624,,,,4.17351303678963,4.204379015194277,0.030865978404647443
Zr-salfan-H2-star,Zr,Zr-salfan-H2-star-ox.out,Zr-salfan-H2-star-red.out,18,1.4713064330663006,1.7157033767056369,0.9099889147421981,0.9099889147421981,2.7585821622540463,1.2486576353555303,3.695998539161068,,0.47981706795078743,0.607967337166466,,4.3094950254826765,2.4775753013614104,-1.8319197241212661,4.3094950254826765,2.4775753013614104,-1.8319197241212661,1.9624870788261408,2.036923656229089,0.07443657740294829,1.9994803405176462,2.107210883049202,0.10773054253155578,1.9254938171346354,1.9666364294089758,0.04114261227434035,,,,6.269787552328308,4.084030420281783,-2.1857571320465254
Zr-salfan-star,Zr,Zr-salfan-star-ox.out,Zr-salfan-star-red.out,18,1.0970753891878215,0.7107849334883123,0.49551171613090567,0.49551171613090567,2.238636587734518,0.6662244070842884,3.095017380127692,,0.1339698379095423,0.2457920713824844,,3.2074596118732215,2.4722268137654364,-0.7352327981077851,3.2074596118732215,2.4722268137654364,-0.7352327981077851,1.9804965085786939,2.0452000868217275,0.06470357824303363,2.02088314855916,2.1178121837692276,0.09692903521006757,1.9401098685982276,1.9725879898742278,0.03247812127600014,,,,4.385652899895521,3.6151793825187983,-0.7704735173767228
Zr-salfen,Zr,Zr-salfen-ox.out,Zr-salfen-red.out,18,0.13794184951267824,0.09261657502663274,0.17848492565707147,0.17848492565707147,0.17337832856015584,0.08959911787293662,0.22823691135532462,,0.07821551804612185,0.11993904926330268,,2.3770717805276913,2.386378418280769,0.009306637753077496,2.3770717805276913,2.386378418280769,0.009306637753077496,2.034456709193426,2.035169183023835,0.0007124738304091771,2.08698872224976,2.0741687666905495,-0.012819955559210339,1.9819246961370913,1.9961695993571211,0.014244903220029803,,,,3.8122560012625066,3.9830880482626796,0.17083204700017296
Zr-thiolfan,Zr,Zr-thiolfan-ox.out,Zr-thiolfan-red.out,18,1.4929720427007906,0.2539653430992055,3.8243550255564456,,1.2248977316907783,1.3431919393655232,1.0938849666331063,,0.08617764189395406,0.6925730176877121,,2.900479869279719,2.8692770098416576,-0.03120285943806156,,,,2.0061653294714716,2.0176662422287315,0.01150091275725984,2.0525182990588045,2.048779876777944,-0.0037384222808602985,1.9598123598841393,1.9865526076795184,0.02674024779537909,,,,4.617500775191381,4.644575558977268,0.02707478378588668
Zr-thiolfan-star,Zr,Zr-thiolfan-star-ox.out,Zr-thiolfan-star-red.out,18,0.08132756553460477,0.03898560381704787,0.11245610886693622,,0.0980802575828199,0.06222944034752949,0.12396358581881159,,0.03263205878412243,0.07259385880750104,,2.865318567485643,2.8404880516739417,-0.02483051581170148,,,,2.0193609833974016,2.0231886365263074,0.0038276531289058724,2.0953959153234116,2.073268724831232,-0.022127190492179594,1.943326051471391,1.9731085482213824,0.02978249674999134,,,,4.568282961699724,4.579484750594329,0.011201788894604547
